Time,Date,Sender_account,Receiver_account,Amount,Payment_currency,Received_currency,Sender_bank_location,Receiver_bank_location,Is_laundering,Laundering_type,DateTime,HourOfDay,DayOfWeek,TimeSinceLastTx,RollingSum_Amount_5,PayType_ACH,PayType_Cash Deposit,PayType_Cash Withdrawal,PayType_Cheque,PayType_Credit card,PayType_Cross-border,PayType_Debit card,IsInternational,Repeat_Tx_Count_Sender_Receiver,Sender_account_encoded,Receiver_account_encoded,Sender_bank_location_encoded,Receiver_bank_location_encoded,Transaction_Frequency,Amount_Mean,Time_Diff,Sender_In_Degree,Sender_Out_Degree,Sender_PageRank,Unique_Receivers,Transaction_ID
11:00:07,2022-12-30,5193381,4923069743,4881.02,UK pounds,UK pounds,UK,UK,0,Normal_Fan_In,2022-12-30 11:00:07,11,4,0.0,4881.02,False,False,False,True,False,False,False,0,1,13,15578,16,16,2,4889.395,0.0,0,1,2.1221511298443555e-05,1,TXN11602
11:03:08,2022-12-30,5193381,4923069743,4897.77,UK pounds,UK pounds,UK,UK,0,Normal_Fan_In,2022-12-30 11:03:08,11,4,181.0,9778.79,True,False,False,False,False,False,False,0,2,13,15578,16,16,2,4889.395,181.0,0,1,2.1221511298443555e-05,1,TXN1295
10:04:18,2022-11-17,6004109,9285879778,2252.61,UK pounds,UK pounds,UK,UK,0,Normal_Group,2022-11-17 10:04:18,10,3,0.0,2252.61,False,False,False,False,True,False,False,0,1,14,29374,16,16,1,2252.61,0.0,0,1,2.1221511298443555e-05,1,TXN4774
14:02:17,2023-08-07,6014387,6418738806,2279.91,UK pounds,UK pounds,UK,UK,0,Normal_Periodical,2023-08-07 14:02:17,14,0,0.0,2279.91,False,False,False,False,True,False,False,0,1,15,20268,16,16,2,5495.675,0.0,0,2,2.1221511298443555e-05,2,TXN11722
00:42:59,2023-08-09,6014387,2024431992,8711.44,UK pounds,UK pounds,UK,UK,0,Normal_Fan_Out,2023-08-09 00:42:59,0,2,124842.0,10991.35,False,False,False,False,False,False,True,0,1,15,6303,16,16,2,5495.675,124842.0,0,2,2.1221511298443555e-05,2,TXN6477
09:19:34,2022-10-13,6665051,8071311365,164.41,UK pounds,UK pounds,UK,UK,0,Normal_Small_Fan_Out,2022-10-13 09:19:34,9,3,0.0,164.41,True,False,False,False,False,False,False,0,1,17,25485,16,16,1,164.41,0.0,1,1,3.927316638077312e-05,1,TXN3004
01:31:08,2023-02-20,7110440,4021833642,8397.31,UK pounds,UK pounds,UK,UK,0,Normal_Fan_Out,2023-02-20 01:31:08,1,0,0.0,8397.31,False,False,False,False,False,False,True,0,1,18,12636,16,16,1,8397.31,0.0,0,1,2.1221511298443555e-05,1,TXN16162
21:02:29,2023-03-22,7184064,3009536999,5398.36,UK pounds,UK pounds,UK,UK,0,Normal_Small_Fan_Out,2023-03-22 21:02:29,21,2,0.0,5398.36,False,False,False,False,True,False,False,0,1,19,9423,16,16,1,5398.36,0.0,0,1,2.1221511298443555e-05,1,TXN15375
16:14:46,2023-05-19,7561575,8058854832,12177.81,Euro,UK pounds,Germany,UK,0,Normal_Fan_In,2023-05-19 16:14:46,16,4,0.0,12177.81,False,False,False,False,False,True,False,1,1,23,25438,3,16,1,12177.81,0.0,0,1,2.1221511298443555e-05,1,TXN3831
15:01:09,2023-06-03,7994600,1644729543,5972.85,UK pounds,UK pounds,UK,UK,0,Normal_Group,2023-06-03 15:01:09,15,5,0.0,5972.85,True,False,False,False,False,False,False,0,1,24,5107,16,16,1,5972.85,0.0,0,1,2.1221511298443555e-05,1,TXN10680
19:01:01,2022-11-13,8801258,5216531044,10081.44,UK pounds,UK pounds,UK,UK,0,Normal_Group,2022-11-13 19:01:01,19,6,0.0,10081.44,False,False,False,True,False,False,False,0,1,26,16523,16,16,1,10081.44,0.0,0,1,2.1221511298443555e-05,1,TXN10084
06:57:41,2023-03-30,9040024,9827573912,6045.27,UK pounds,UK pounds,UK,UK,0,Normal_Fan_Out,2023-03-30 06:57:41,6,3,0.0,6045.27,False,False,False,True,False,False,False,0,1,27,31084,16,16,3,6841.040000000001,0.0,0,3,2.1221511298443555e-05,3,TXN18613
10:31:42,2023-03-30,9040024,4321476257,5161.23,UK pounds,UK pounds,UK,UK,0,Normal_Fan_Out,2023-03-30 10:31:42,10,3,12841.0,11206.5,True,False,False,False,False,False,False,0,1,27,13645,16,16,3,6841.040000000001,12841.0,0,3,2.1221511298443555e-05,3,TXN5740
18:20:55,2023-03-30,9040024,6625368415,9316.62,UK pounds,UK pounds,UK,UK,0,Normal_Fan_Out,2023-03-30 18:20:55,18,3,28153.0,20523.120000000003,False,False,False,True,False,False,False,0,1,27,20962,16,16,3,6841.040000000001,28153.0,0,3,2.1221511298443555e-05,3,TXN16865
14:58:21,2023-01-15,9381587,1472624642,6033.8,UK pounds,UK pounds,UK,UK,0,Normal_Fan_In,2023-01-15 14:58:21,14,6,0.0,6033.8,False,False,False,False,True,False,False,0,1,28,4568,16,16,1,6033.8,0.0,0,1,2.1221511298443555e-05,1,TXN4330
12:20:53,2023-03-03,9655503,8754955374,5049.5,UK pounds,UK pounds,UK,UK,0,Normal_Cash_Deposits,2023-03-03 12:20:53,12,4,0.0,5049.5,False,True,False,False,False,False,False,0,1,31,27702,16,16,1,5049.5,0.0,0,1,2.1221511298443555e-05,1,TXN6770
20:31:56,2023-05-17,9728069,1568472922,5335.1,UK pounds,UK pounds,UK,UK,0,Normal_Fan_Out,2023-05-17 20:31:56,20,2,0.0,5335.1,False,False,False,False,True,False,False,0,1,33,4862,16,16,1,5335.1,0.0,0,1,2.1221511298443555e-05,1,TXN2736
14:38:02,2023-06-19,9783877,1419719409,7359.33,UK pounds,Euro,UK,Spain,0,Normal_Fan_In,2023-06-19 14:38:02,14,0,0.0,7359.33,False,False,False,False,False,True,False,1,1,34,4395,16,12,1,7359.33,0.0,0,1,2.1221511298443555e-05,1,TXN17368
10:57:41,2022-11-26,11292152,9875387041,10639.94,UK pounds,UK pounds,UK,UK,0,Normal_Group,2022-11-26 10:57:41,10,5,0.0,10639.94,False,False,False,True,False,False,False,0,1,37,31228,16,16,1,10639.94,0.0,1,1,3.927316638077312e-05,1,TXN2336
20:12:25,2023-02-04,12470473,671004642,4312.05,Naira,Euro,Nigeria,Italy,0,Normal_Fan_Out,2023-02-04 20:12:25,20,5,0.0,4312.05,False,False,False,False,False,True,False,1,1,41,2129,10,5,1,4312.05,0.0,0,1,2.1221511298443555e-05,1,TXN4141
04:14:58,2023-06-21,12735890,5229558527,23027.95,UK pounds,UK pounds,UK,UK,0,Normal_Mutual,2023-06-21 04:14:58,4,2,0.0,23027.95,False,False,False,True,False,False,False,0,1,45,16568,16,16,1,23027.95,0.0,0,1,2.1221511298443555e-05,1,TXN7315
17:04:34,2023-05-25,12760852,7533320792,16297.01,UK pounds,UK pounds,UK,UK,0,Normal_Fan_In,2023-05-25 17:04:34,17,3,0.0,16297.01,True,False,False,False,False,False,False,0,1,46,23795,16,16,1,16297.01,0.0,0,1,2.1221511298443555e-05,1,TXN4338
05:19:23,2022-11-27,13527377,3278536789,1654.63,UK pounds,UK pounds,UK,UK,0,Normal_Small_Fan_Out,2022-11-27 05:19:23,5,6,0.0,1654.63,False,False,False,True,False,False,False,0,1,49,10246,16,16,1,1654.63,0.0,0,1,2.1221511298443555e-05,1,TXN967
08:09:50,2022-12-24,13587741,7262408090,7076.23,UK pounds,UK pounds,UK,UK,0,Normal_Fan_Out,2022-12-24 08:09:50,8,5,0.0,7076.23,False,False,False,True,False,False,False,0,1,50,22942,16,16,2,9047.75,0.0,0,2,2.1221511298443555e-05,2,TXN13418
14:10:33,2022-12-24,13587741,4845230066,11019.27,UK pounds,UK pounds,UK,UK,0,Normal_Fan_Out,2022-12-24 14:10:33,14,5,21643.0,18095.5,True,False,False,False,False,False,False,0,1,50,15316,16,16,2,9047.75,21643.0,0,2,2.1221511298443555e-05,2,TXN19495
08:15:07,2023-07-23,13719789,4039863669,4392.17,UK pounds,UK pounds,UK,UK,0,Normal_Small_Fan_Out,2023-07-23 08:15:07,8,6,0.0,4392.17,True,False,False,False,False,False,False,0,1,51,12702,16,16,1,4392.17,0.0,0,1,2.1221511298443555e-05,1,TXN6933
00:23:21,2022-12-03,15085634,3033868984,28435.53,UK pounds,UK pounds,UK,UK,0,Normal_Small_Fan_Out,2022-12-03 00:23:21,0,5,0.0,28435.53,False,False,False,False,True,False,False,0,1,52,9503,16,16,1,28435.53,0.0,0,1,2.1221511298443555e-05,1,TXN6455
08:19:35,2023-08-21,15297964,2712155313,12873.92,UK pounds,UK pounds,UK,UK,0,Normal_Small_Fan_Out,2023-08-21 08:19:35,8,0,0.0,12873.92,True,False,False,False,False,False,False,0,1,53,8476,16,16,1,12873.92,0.0,0,1,2.1221511298443555e-05,1,TXN5023
15:58:29,2023-01-20,15455490,3035102123,19811.56,UK pounds,UK pounds,UK,UK,0,Normal_Fan_In,2023-01-20 15:58:29,15,4,0.0,19811.56,False,False,False,False,False,False,True,0,1,55,9508,16,16,1,19811.56,0.0,0,1,2.1221511298443555e-05,1,TXN18275
22:20:16,2023-08-10,15588289,6212392715,10961.56,UK pounds,UK pounds,UK,UK,0,Normal_Fan_In,2023-08-10 22:20:16,22,3,0.0,10961.56,False,False,False,False,False,False,True,0,1,57,19650,16,16,1,10961.56,0.0,0,1,2.1221511298443555e-05,1,TXN13024
09:56:46,2023-04-03,15973702,8544563266,8679.85,UK pounds,UK pounds,UK,UK,0,Normal_Fan_Out,2023-04-03 09:56:46,9,0,0.0,8679.85,False,False,False,False,True,False,False,0,1,60,27019,16,16,4,11816.0575,0.0,0,4,2.1221511298443555e-05,4,TXN14869
23:10:23,2023-04-03,15973702,3380518132,18175.06,UK pounds,UK pounds,UK,UK,0,Normal_Fan_Out,2023-04-03 23:10:23,23,0,47617.0,26854.910000000003,False,False,False,True,False,False,False,0,1,60,10602,16,16,4,11816.0575,47617.0,0,4,2.1221511298443555e-05,4,TXN18348
09:20:56,2023-06-04,15973702,577752691,18711.82,UK pounds,UK pounds,UK,UK,0,Normal_Small_Fan_Out,2023-06-04 09:20:56,9,6,5307033.0,45566.73,False,False,False,False,True,False,False,0,1,60,1849,16,16,4,11816.0575,5307033.0,0,4,2.1221511298443555e-05,4,TXN7123
18:40:02,2023-06-15,15973702,5568622647,1697.5,UK pounds,UK pounds,UK,UK,0,Normal_Small_Fan_Out,2023-06-15 18:40:02,18,3,983946.0,47264.23,False,False,False,True,False,False,False,0,1,60,17590,16,16,4,11816.0575,983946.0,0,4,2.1221511298443555e-05,4,TXN10612
13:53:11,2022-11-09,16226026,2911792733,4929.11,UK pounds,UK pounds,UK,UK,0,Normal_Small_Fan_Out,2022-11-09 13:53:11,13,2,0.0,4929.11,False,False,False,False,True,False,False,0,1,61,9125,16,16,3,1847.0966666666664,0.0,0,3,2.1221511298443555e-05,3,TXN5413
13:13:07,2023-01-20,16226026,9859201868,525.52,UK pounds,Euro,UK,Netherlands,0,Normal_Small_Fan_Out,2023-01-20 13:13:07,13,4,6218396.0,5454.629999999999,False,False,False,False,False,True,False,1,1,61,31177,16,9,3,1847.0966666666664,6218396.0,0,3,2.1221511298443555e-05,3,TXN12894
04:00:15,2023-04-03,16226026,9375269783,86.66,UK pounds,UK pounds,UK,UK,0,Normal_Cash_Withdrawal,2023-04-03 04:00:15,4,0,6274028.0,5541.29,False,False,True,False,False,False,False,0,1,61,29643,16,16,3,1847.0966666666664,6274028.0,0,3,2.1221511298443555e-05,3,TXN991
04:38:12,2023-08-18,16390550,6543825747,8690.46,UK pounds,UK pounds,UK,UK,0,Normal_Fan_Out,2023-08-18 04:38:12,4,4,0.0,8690.46,False,False,False,False,False,False,True,0,1,62,20667,16,16,1,8690.46,0.0,3,1,7.537647654543227e-05,1,TXN6255
22:09:40,2023-08-05,16497680,4058463646,5687.28,UK pounds,UK pounds,UK,UK,0,Normal_Fan_Out,2023-08-05 22:09:40,22,5,0.0,5687.28,False,False,False,False,False,False,True,0,1,64,12758,16,16,1,5687.28,0.0,0,1,2.1221511298443555e-05,1,TXN13993
23:55:13,2022-11-21,17112044,3017674410,8219.73,UK pounds,UK pounds,UK,UK,0,Normal_Fan_In,2022-11-21 23:55:13,23,0,0.0,8219.73,False,False,False,True,False,False,False,0,1,65,9444,16,16,1,8219.73,0.0,0,1,2.1221511298443555e-05,1,TXN6988
23:09:08,2023-06-30,17295551,1072942380,1893.1,UK pounds,UK pounds,UK,UK,0,Normal_Group,2023-06-30 23:09:08,23,4,0.0,1893.1,False,False,False,True,False,False,False,0,1,67,3329,16,16,1,1893.1,0.0,0,1,2.1221511298443555e-05,1,TXN9663
20:49:13,2023-07-22,17365250,7110704356,25035.8,UK pounds,UK pounds,UK,UK,0,Normal_Fan_In,2023-07-22 20:49:13,20,5,0.0,25035.8,False,False,False,False,True,False,False,0,1,68,22472,16,16,1,25035.8,0.0,0,1,2.1221511298443555e-05,1,TXN16643
20:51:19,2023-08-06,17754342,7203522845,8444.75,UK pounds,UK pounds,UK,UK,0,Normal_Fan_Out,2023-08-06 20:51:19,20,6,0.0,8444.75,True,False,False,False,False,False,False,0,1,70,22760,16,16,1,8444.75,0.0,0,1,2.1221511298443555e-05,1,TXN12205
20:33:30,2023-04-20,18078495,469955529,4537.52,UK pounds,UK pounds,UK,UK,0,Normal_Fan_In,2023-04-20 20:33:30,20,3,0.0,4537.52,False,False,False,False,False,False,True,0,1,72,1518,16,16,1,4537.52,0.0,0,1,2.1221511298443555e-05,1,TXN7824
14:00:07,2023-08-09,18386562,3747015869,1615.52,Euro,UK pounds,Spain,UK,0,Normal_Group,2023-08-09 14:00:07,14,2,0.0,1615.52,False,False,False,False,False,True,False,1,1,73,11761,12,16,1,1615.52,0.0,0,1,2.1221511298443555e-05,1,TXN4358
16:27:30,2022-12-20,18772233,467331190,644.73,UK pounds,UK pounds,UK,UK,0,Normal_Group,2022-12-20 16:27:30,16,1,0.0,644.73,False,False,False,False,False,False,True,0,1,74,1507,16,16,1,644.73,0.0,0,1,2.1221511298443555e-05,1,TXN3427
22:07:11,2023-01-31,18798475,4006120698,8235.07,UK pounds,UK pounds,UK,UK,0,Normal_Fan_Out,2023-01-31 22:07:11,22,1,0.0,8235.07,True,False,False,False,False,False,False,0,1,75,12573,16,16,1,8235.07,0.0,1,1,3.927316638077312e-05,1,TXN4340
10:39:24,2023-03-16,20915173,3842321004,24253.71,UK pounds,UK pounds,UK,UK,0,Normal_Fan_Out,2023-03-16 10:39:24,10,3,0.0,24253.71,True,False,False,False,False,False,False,0,1,82,12088,16,16,1,24253.71,0.0,0,1,2.1221511298443555e-05,1,TXN17577
02:01:50,2023-05-17,20998050,5964933636,6890.52,UK pounds,UK pounds,UK,UK,0,Normal_Fan_In,2023-05-17 02:01:50,2,2,0.0,6890.52,False,False,False,False,False,False,True,0,1,83,18882,16,16,1,6890.52,0.0,0,1,2.1221511298443555e-05,1,TXN16209
09:54:32,2023-04-08,21015239,983401335,7461.66,UK pounds,UK pounds,UK,UK,0,Normal_Fan_In,2023-04-08 09:54:32,9,5,0.0,7461.66,True,False,False,False,False,False,False,0,1,84,3069,16,16,1,7461.66,0.0,0,1,2.1221511298443555e-05,1,TXN7939
17:33:05,2023-05-04,21552056,3164857743,2282.85,UK pounds,UK pounds,UK,UK,0,Normal_Cash_Deposits,2023-05-04 17:33:05,17,3,0.0,2282.85,False,True,False,False,False,False,False,0,1,85,9910,16,16,1,2282.85,0.0,0,1,2.1221511298443555e-05,1,TXN11822
21:11:13,2023-02-22,22402737,1857435607,34398.09,UK pounds,UK pounds,UK,UK,0,Normal_Small_Fan_Out,2023-02-22 21:11:13,21,2,0.0,34398.09,True,False,False,False,False,False,False,0,1,86,5739,16,16,1,34398.09,0.0,2,1,5.732482146310268e-05,1,TXN10597
21:39:53,2023-01-16,22641270,8124056003,9290.78,Mexican Peso,UK pounds,UK,UK,0,Normal_Fan_In,2023-01-16 21:39:53,21,0,0.0,9290.78,True,False,False,False,False,False,False,0,1,88,25655,16,16,1,9290.78,0.0,0,1,2.1221511298443555e-05,1,TXN14353
16:20:14,2022-11-27,22661908,2016518314,13524.18,UK pounds,Mexican Peso,UK,Mexico,0,Normal_Small_Fan_Out,2022-11-27 16:20:14,16,6,0.0,13524.18,False,False,False,False,False,True,False,1,1,89,6282,16,7,2,9810.105,0.0,0,2,2.1221511298443555e-05,2,TXN7494
18:38:43,2023-03-14,22661908,7880940630,6096.03,UK pounds,UK pounds,UK,UK,0,Normal_Small_Fan_Out,2023-03-14 18:38:43,18,1,9253109.0,19620.21,False,False,False,False,True,False,False,0,1,89,24912,16,16,2,9810.105,9253109.0,0,2,2.1221511298443555e-05,2,TXN17629
14:21:54,2022-12-20,22691123,5602429684,2946.09,UK pounds,UK pounds,UK,UK,0,Normal_Small_Fan_Out,2022-12-20 14:21:54,14,1,0.0,2946.09,True,False,False,False,False,False,False,0,1,90,17692,16,16,1,2946.09,0.0,1,1,3.927316638077312e-05,1,TXN9016
11:48:00,2023-07-10,23039938,131398201,21216.82,UK pounds,UK pounds,UK,UK,0,Normal_Small_Fan_Out,2023-07-10 11:48:00,11,0,0.0,21216.82,False,False,False,False,False,False,True,0,1,91,421,16,16,1,21216.82,0.0,0,1,2.1221511298443555e-05,1,TXN19058
09:13:38,2022-12-30,24474863,4652415622,193.25,UK pounds,UK pounds,UK,UK,0,Normal_Small_Fan_Out,2022-12-30 09:13:38,9,4,0.0,193.25,False,False,False,True,False,False,False,0,1,94,14719,16,16,3,530.05,0.0,0,3,2.1221511298443555e-05,3,TXN14391
22:18:10,2023-04-01,24474863,5524423410,60.33,UK pounds,UK pounds,UK,UK,0,Normal_Cash_Withdrawal,2023-04-01 22:18:10,22,5,7995872.0,253.58,False,False,True,False,False,False,False,0,1,94,17465,16,16,3,530.05,7995872.0,0,3,2.1221511298443555e-05,3,TXN12116
10:44:41,2023-08-04,24474863,5759656063,1336.57,UK pounds,UK pounds,UK,UK,0,Normal_Small_Fan_Out,2023-08-04 10:44:41,10,4,10758391.0,1590.15,False,False,False,False,False,False,True,0,1,94,18236,16,16,3,530.05,10758391.0,0,3,2.1221511298443555e-05,3,TXN7028
17:24:57,2023-08-09,25287187,503623523,5181.03,UK pounds,UK pounds,UK,UK,0,Normal_Fan_In,2023-08-09 17:24:57,17,2,0.0,5181.03,False,False,False,False,False,False,True,0,1,95,1624,16,16,1,5181.03,0.0,0,1,2.1221511298443555e-05,1,TXN12361
03:40:40,2023-01-15,25365798,9738861573,14271.29,UK pounds,UK pounds,UK,UK,0,Normal_Fan_In,2023-01-15 03:40:40,3,6,0.0,14271.29,False,False,False,True,False,False,False,0,1,96,30805,16,16,1,14271.29,0.0,0,1,2.1221511298443555e-05,1,TXN3195
14:08:26,2023-04-28,26187906,9841880019,14339.55,UK pounds,UK pounds,UK,UK,0,Normal_Fan_Out,2023-04-28 14:08:26,14,4,0.0,14339.55,False,False,False,False,True,False,False,0,1,99,31127,16,16,1,14339.55,0.0,1,1,3.927316638077312e-05,1,TXN465
10:37:53,2023-01-28,26856389,3949781127,671.2,UK pounds,UK pounds,UK,UK,0,Normal_Small_Fan_Out,2023-01-28 10:37:53,10,5,0.0,671.2,False,False,False,True,False,False,False,0,1,101,12407,16,16,3,6442.433333333334,0.0,0,3,2.1221511298443555e-05,3,TXN5113
10:07:01,2023-07-19,26856389,5222333765,12777.7,UK pounds,UK pounds,UK,UK,0,Normal_Fan_Out,2023-07-19 10:07:01,10,2,14858948.0,13448.9,False,False,False,False,True,False,False,0,1,101,16541,16,16,3,6442.433333333334,14858948.0,0,3,2.1221511298443555e-05,3,TXN15858
14:17:20,2023-07-19,26856389,5370987502,5878.4,UK pounds,UK pounds,UK,UK,0,Normal_Fan_Out,2023-07-19 14:17:20,14,2,15019.0,19327.300000000003,False,False,False,False,False,False,True,0,1,101,16985,16,16,3,6442.433333333334,15019.0,0,3,2.1221511298443555e-05,3,TXN12520
10:23:28,2022-12-08,27721201,5329930805,7450.6,UK pounds,UK pounds,UK,UK,0,Normal_Fan_Out,2022-12-08 10:23:28,10,3,0.0,7450.6,False,False,False,True,False,False,False,0,1,103,16854,16,16,1,7450.6,0.0,0,1,2.1221511298443555e-05,1,TXN15006
09:25:47,2022-11-06,27949202,3744180346,726.31,UK pounds,UK pounds,UK,UK,0,Normal_Small_Fan_Out,2022-11-06 09:25:47,9,6,0.0,726.31,False,False,False,True,False,False,False,0,1,104,11754,16,16,1,726.31,0.0,0,1,2.1221511298443555e-05,1,TXN327
10:40:32,2023-06-23,28500424,2010718939,7107.39,UK pounds,UK pounds,UK,UK,0,Normal_Fan_In,2023-06-23 10:40:32,10,4,0.0,7107.39,True,False,False,False,False,False,False,0,1,106,6262,16,16,1,7107.39,0.0,0,1,2.1221511298443555e-05,1,TXN18457
16:49:59,2022-11-15,28968986,7692118295,193.28,UK pounds,UK pounds,UK,UK,0,Normal_Small_Fan_Out,2022-11-15 16:49:59,16,1,0.0,193.28,True,False,False,False,False,False,False,0,1,109,24291,16,16,3,2813.84,0.0,0,3,2.1221511298443555e-05,3,TXN14572
13:43:23,2023-02-14,28968986,9769972067,127.02,UK pounds,UK pounds,UK,UK,0,Normal_Small_Fan_Out,2023-02-14 13:43:23,13,1,7851204.0,320.3,False,False,False,False,True,False,False,0,1,109,30900,16,16,3,2813.84,7851204.0,0,3,2.1221511298443555e-05,3,TXN17315
09:58:35,2023-07-31,28968986,5138863637,8121.22,UK pounds,UK pounds,UK,UK,0,Normal_Small_Fan_Out,2023-07-31 09:58:35,9,0,14415312.0,8441.52,False,False,False,True,False,False,False,0,1,109,16264,16,16,3,2813.84,14415312.0,0,3,2.1221511298443555e-05,3,TXN2335
21:00:16,2022-12-15,29347651,4008672745,9274.09,UK pounds,UK pounds,UK,UK,0,Normal_Fan_In,2022-12-15 21:00:16,21,3,0.0,9274.09,False,False,False,True,False,False,False,0,1,110,12583,16,16,1,9274.09,0.0,0,1,2.1221511298443555e-05,1,TXN13294
19:34:44,2023-04-06,29442781,9321908163,4872.31,UK pounds,UK pounds,UK,UK,0,Normal_Fan_Out,2023-04-06 19:34:44,19,3,0.0,4872.31,False,False,False,False,False,False,True,0,1,111,29482,16,16,1,4872.31,0.0,2,1,5.732482146310268e-05,1,TXN12556
22:38:27,2023-02-06,29500520,3698016854,14035.12,UK pounds,UK pounds,UK,UK,0,Normal_Fan_Out,2023-02-06 22:38:27,22,0,0.0,14035.12,False,False,False,False,False,False,True,0,1,112,11605,16,16,2,9931.235,0.0,1,2,3.927316638077312e-05,2,TXN7485
17:17:52,2023-08-04,29500520,6593129675,5827.35,UK pounds,UK pounds,UK,UK,0,Normal_Small_Fan_Out,2023-08-04 17:17:52,17,4,15446365.0,19862.47,False,False,False,True,False,False,False,0,1,112,20843,16,16,2,9931.235,15446365.0,1,2,3.927316638077312e-05,2,TXN10266
22:48:40,2023-01-17,30004259,8563646776,6875.05,UK pounds,UK pounds,UK,UK,0,Normal_Fan_Out,2023-01-17 22:48:40,22,1,0.0,6875.05,False,False,False,True,False,False,False,0,1,113,27087,16,16,2,3520.14,0.0,0,2,2.1221511298443555e-05,2,TXN12509
05:03:16,2023-08-23,30004259,3241626570,165.23,UK pounds,UK pounds,UK,UK,0,Normal_Cash_Withdrawal,2023-08-23 05:03:16,5,2,18771276.0,7040.28,False,False,True,False,False,False,False,0,1,113,10129,16,16,2,3520.14,18771276.0,0,2,2.1221511298443555e-05,2,TXN9027
16:28:00,2022-10-29,30747439,1554316164,12901.11,UK pounds,UK pounds,UK,UK,0,Normal_Small_Fan_Out,2022-10-29 16:28:00,16,5,0.0,12901.11,True,False,False,False,False,False,False,0,1,115,4832,16,16,1,12901.11,0.0,0,1,2.1221511298443555e-05,1,TXN19373
09:47:30,2023-08-22,30858150,1568968850,1960.23,UK pounds,UK pounds,UK,UK,0,Normal_Small_Fan_Out,2023-08-22 09:47:30,9,1,0.0,1960.23,False,False,False,True,False,False,False,0,1,116,4864,16,16,1,1960.23,0.0,0,1,2.1221511298443555e-05,1,TXN8308
